nps_id,date_id,region_id,nps_score,promoters_pct,passives_pct,detractors_pct,responses,top_driver_positive,top_driver_negative,notes
NPS001,202405,R01,29,48,33,19,420,Schedule reliability,Documentation complexity,
NPS002,202405,R02,26,45,36,19,380,Global network,Transit time variability,
NPS003,202405,R03,31,50,31,19,360,Port coverage,Customer service response time,
NPS004,202405,R04,22,41,40,19,210,Competitive pricing,Rate transparency,
NPS005,202405,R05,18,38,42,20,180,Regional expertise,Digital tools maturity,
NPS006,202406,R01,30,49,33,18,422,Schedule reliability,Documentation complexity,
NPS007,202406,R02,27,46,35,19,382,Global network,Transit time variability,
NPS008,202406,R03,32,51,30,19,362,Port coverage,Customer service response time,
NPS009,202406,R04,23,42,39,19,212,Competitive pricing,Rate transparency,
NPS010,202406,R05,19,39,42,19,182,Regional expertise,Digital tools maturity,
NPS011,202407,R01,30,49,34,17,424,Schedule reliability,Documentation complexity,Slight drop — Maersk price war
NPS012,202407,R02,27,46,35,19,384,Global network,Transit time variability,
NPS013,202407,R03,32,51,31,18,364,Port coverage,Reefer equipment availability,
NPS014,202407,R04,23,42,40,18,214,Competitive pricing,Rate transparency,
NPS015,202407,R05,18,38,44,18,183,Regional expertise,Digital tools maturity,
NPS016,202408,R01,31,50,33,17,426,Schedule reliability,Documentation complexity,
NPS017,202408,R02,28,47,34,19,386,Global network,Transit time variability,
NPS018,202408,R03,33,52,30,18,366,Port coverage,Reefer equipment availability,
NPS019,202408,R04,24,43,39,18,216,Competitive pricing,Rate transparency,
NPS020,202408,R05,19,39,43,18,184,Regional expertise,Digital tools maturity,
NPS021,202409,R01,32,51,32,17,428,Schedule reliability,Documentation complexity,
NPS022,202409,R02,29,48,34,18,388,Global network,Transit time variability,
NPS023,202409,R03,34,53,30,17,368,Port coverage,Customer service response time,
NPS024,202409,R04,24,43,40,17,218,Competitive pricing,Rate transparency,
NPS025,202409,R05,19,39,43,18,185,Regional expertise,Digital tools maturity,
NPS026,202410,R01,34,52,31,17,430,Schedule reliability,Documentation complexity,Pre-peak survey
NPS027,202410,R02,30,49,33,18,390,Global network,Transit time variability,
NPS028,202410,R03,35,54,29,17,370,Port coverage,Customer service response time,
NPS029,202410,R04,25,44,39,17,220,Competitive pricing,Rate transparency,
NPS030,202410,R05,20,40,42,18,186,Regional expertise,Digital tools maturity,
NPS031,202411,R01,35,53,31,16,432,Schedule reliability,Documentation complexity,
NPS032,202411,R02,31,50,33,17,392,Global network,Transit time variability,
NPS033,202411,R03,36,55,29,16,372,Port coverage,Customer service response time,
NPS034,202411,R04,25,44,40,16,222,Competitive pricing,Rate transparency,
NPS035,202411,R05,20,40,43,17,187,Regional expertise,Digital tools maturity,
NPS036,202412,R01,37,54,30,16,434,Schedule reliability,Documentation complexity,
NPS037,202412,R02,31,50,34,16,394,Global network,Transit time variability,Flat — Dec seasonality
NPS038,202412,R03,37,56,28,16,374,Port coverage,Customer service response time,
NPS039,202412,R04,25,44,41,15,223,Competitive pricing,Rate transparency,Detractors rising — escalate
NPS040,202412,R05,20,40,43,17,188,Regional expertise,Digital tools maturity,
NPS041,202501,R01,38,55,30,15,436,Schedule reliability,Documentation complexity,
NPS042,202501,R02,33,52,32,16,396,Global network,Transit time variability,
NPS043,202501,R03,38,57,28,15,376,Port coverage,Customer service response time,
NPS044,202501,R04,26,45,40,15,224,Competitive pricing,Rate transparency,
NPS045,202501,R05,21,41,42,17,189,Regional expertise,Digital tools maturity,
NPS046,202502,R01,40,57,29,14,438,Schedule reliability,Documentation complexity,Digital First lift
NPS047,202502,R02,34,53,31,16,398,Global network,Transit time variability,
NPS048,202502,R03,39,58,27,15,378,Port coverage,Customer service response time,
NPS049,202502,R04,27,46,39,15,226,Competitive pricing,Rate transparency,
NPS050,202502,R05,21,41,43,16,190,Regional expertise,Digital tools maturity,
NPS051,202503,R01,41,58,28,14,440,Schedule reliability,Documentation complexity,
NPS052,202503,R02,35,54,31,15,400,Global network,Transit time variability,
NPS053,202503,R03,40,59,27,14,380,Port coverage,Customer service response time,
NPS054,202503,R04,27,46,40,14,228,Competitive pricing,Rate transparency,
NPS055,202503,R05,22,42,42,16,191,Regional expertise,Digital tools maturity,
NPS056,202504,R01,44,61,27,12,442,Schedule reliability,Documentation complexity,
NPS057,202504,R02,37,56,30,14,402,Global network,Transit time variability,
NPS058,202504,R03,42,61,26,13,382,Port coverage,Customer service response time,
NPS059,202504,R04,28,47,40,13,230,Competitive pricing,Rate transparency,Still below 35 target
NPS060,202504,R05,23,43,41,16,192,Regional expertise,Digital tools maturity,Persistently low — action plan required
